Code,Student Type,Type,Program Name,School,Degree(s),Status,Active Term,Inactive Term,End Term,Campus,Note
ABAO,graduate,majors,Applied Behavior Analysis,ED,M.S.,active,202201,,,,Online
ACTG,undergraduate,majors,Accounting,BUS,"B.A., B.S.",active,,,,,
ACTG,graduate,majors,Accounting,BUS,"Ph.D., M.Actg.",active,,,,,
ADBR,graduate,majors,Advertising and Brand Responsibility,SOJC,"M.A., M.S.",active,201701,,,,
ADPD,undergraduate,minors,Audio Production,SOMD,,active,201701,,,,
ADSL,graduate,specializations,Advanced Strategy and Leadership,BUS,,active,201701,,,,
AFR,undergraduate,minors,African Studies,CAS,,active,,,,,
AFST,graduate,specializations,African Studies,CAS,,active,201501,,,,
ALAW,graduate,majors,American Law,LAW,LL.M.,active,201401,,,,
AMAN,undergraduate,majors,Arts Management,DSGN,"B.A., B.S.",inactive,,202201,202804,,
AMGT,graduate,majors,Arts Management,DSGN,"M.A., M.S.",inactive,,202201,202804,,
ANTH,undergraduate,majors,Anthropology,CAS,"B.A., B.S.",active,,,,,
ANTH,undergraduate,minors,Anthropology,CAS,,active,,,,,
ANTH,graduate,majors,Anthropology,CAS,"Ph.D., M.A., M.S.",active,,,,,
APHY,graduate,majors,Applied Physics,CAS,M.S.,active,,,,,
ARBF,undergraduate,majors,Art,DSGN,B.F.A.,active,,,,,
ARBS,undergraduate,minors,Arabic Studies,CAS,,active,201301,,,,
ARCH,undergraduate,majors,Architecture,DSGN,B.Arch.,active,,,,,
ARCH,undergraduate,minors,Architecture,DSGN,,active,,,,,
ARCH,graduate,majors,Architecture,DSGN,"Ph.D., M.Arch., M.S.",active,,,,,
ARCT,graduate,specializations,Architectural Technology,DSGN,,active,201701,,,,
ARDF,undergraduate,majors,Digital Arts,DSGN,B.F.A.,inactive,,201601,202204,,
ARDG,undergraduate,majors,Digital Arts,DSGN,"B.A., B.S.",inactive,,201601,202204,,
ARH,undergraduate,majors,Art History,DSGN,B.A.,active,,,,,
ARH,undergraduate,minors,Art History,DSGN,,active,,,,,
ARH,graduate,majors,Art History,DSGN,"Ph.D., M.A.",active,,,,,
ARMG,undergraduate,minors,Arts Management,DSGN,,active,201302,,,,
ART,undergraduate,majors,Art,DSGN,"B.A., B.S.",active,,,,,
ART,undergraduate,minors,Art,DSGN,,active,,,,,
ART,graduate,majors,Art,DSGN,M.F.A.,active,,,,,
ARTC,undergraduate,majors,Ceramics,DSGN,B.F.A.,inactive,,201801,202404,,
ARTF,undergraduate,majors,Fibers,DSGN,B.F.A.,inactive,,201801,202404,,
ARTM,undergraduate,majors,Metalsmithing and Jewelry,DSGN,B.F.A.,inactive,,201801,202404,,
ARTO,undergraduate,majors,Photography,DSGN,B.F.A.,inactive,,201801,202404,,
ARTP,undergraduate,majors,Painting,DSGN,B.F.A.,inactive,,201801,202404,,
ARTR,undergraduate,majors,Printmaking,DSGN,B.F.A.,inactive,,201801,202404,,
ARTS,undergraduate,majors,Sculpture,DSGN,B.F.A.,inactive,,201801,202404,,
